DLS C6-C7,L C7,R C7,L Neck problems,neck pain,R neck,L Shoulder problems,L Shoulder trouble,R Shoulder problems,R Shoulder trouble,L Elbow problems,R Elbow trouble,L Arm,L Wrist problems,R Wrist problems,L lower arm disorders,R lower arm disorders,L Hand problems,R Hand problems,L bend of arm problems,R Armband,R bend of arm discomfort,L Medial elbow problems,R Medial elbow problems,L Finger trouble,R Finger trouble
-0.9581,-0.856541,-0.819092,-1.155697,-0.965735,-0.625305,0.92557,-1.345195,-1.067423,0.3578,0.177032,0.914079,0.200237,0.859959,0.167973,-0.521883,-0.255235,-1.184679,0.268726,-0.93018,0.580126,0.261456,0.404801,0.613928,-1.180437,-0.500946
2.382099,0.834044,0.919676,1.292305,0.079175,0.708701,-1.356808,-0.764028,1.303759,0.407112,-0.608379,-1.353689,-0.582966,0.870952,0.197526,0.735468,0.173173,0.719443,-1.267674,0.437795,-0.233134,-0.121424,0.996972,0.480989,-0.751166,0.498473
0.409088,0.940305,0.836502,0.8372,0.812949,-0.078312,-0.188058,-0.596696,-0.235843,1.530111,-0.348564,-0.736581,-0.272332,1.137173,0.219147,0.085084,0.900678,0.612473,0.316106,1.316246,-1.141905,0.452259,-0.654123,-0.082246,-0.187317,-0.409689
-0.640631,0.224746,0.236105,0.818488,0.758581,0.26015,-1.100522,-1.182666,0.427989,-0.470114,-0.208684,-0.88213,-0.289628,-1.263107,0.638057,0.164722,-0.763496,0.656803,-0.609021,-0.075162,-0.751156,-0.782502,-0.212147,0.140022,-0.581598,0.373419
0.126559,-0.107159,-0.922939,0.247395,0.287492,-0.252839,1.252105,1.090395,-0.963888,0.387731,0.902568,0.857109,-0.889883,0.214126,0.882434,-1.072857,-0.521481,0.562352,-0.365488,0.690291,-0.94938,-0.050121,-0.320794,0.095823,0.933548,-0.372971
-1.846837,-0.84284,-0.966579,-0.866969,0.200809,0.214298,-0.789582,-0.915058,-0.648149,-0.50191,0.03315,0.674017,0.908274,-0.883777,1.35889,-0.578383,0.367822,-0.243975,0.59361,-0.815361,0.95116,0.337914,0.73452,-0.895232,0.677854,-1.362078
-0.950479,1.232999,0.022636,1.14491,0.431297,0.786721,-0.769097,-0.728731,-0.565575,0.365635,-1.128349,-0.353115,-0.284828,1.429648,-0.274293,-0.810135,0.153725,-0.478897,0.572866,1.305823,-0.445963,-0.013017,-1.154695,-0.272823,-0.25611,1.435855
1.182213,0.871698,-0.824015,-0.488819,0.969922,-0.66498,0.121488,-0.462845,0.350062,-0.079649,-1.282922,0.8016,-1.075785,0.887147,0.498747,-0.147178,-0.003101,0.149633,0.388891,-0.640542,1.057618,1.116434,-0.055686,-0.607632,-0.783394,-1.106491
0.392994,1.81845,0.634047,0.937217,0.777471,-1.369819,-0.00538,-0.955364,0.769913,0.644162,-0.967236,-0.13536,-1.435547,0.886161,-0.142791,0.370129,0.57034,-0.599509,1.215824,-0.38031,-1.077563,-0.356661,-1.265964,-0.095791,-1.402847,0.454874
-0.050299,-0.191194,-0.665993,0.069403,-0.061018,-1.159083,-0.166938,0.373961,-0.048747,-1.146577,0.486037,0.111748,0.851308,-0.451427,0.128725,0.177899,-0.045306,-0.788569,1.110436,-0.619317,-1.032131,1.607199,-0.415723,-1.001335,0.53281,0.064976
-0.324367,0.837724,-0.447429,0.604803,0.289795,-1.237819,-0.883086,-0.327965,-0.510452,0.747083,0.149961,-1.351247,0.167266,-0.546595,0.137431,-0.146065,-0.781762,1.348408,0.377419,0.751904,0.782472,-0.194145,0.298519,-0.306235,-0.438631,0.550128
-0.161584,-1.09752,0.066622,-0.885441,-0.559634,0.888261,1.044417,0.856508,0.918409,-0.459035,-0.344963,1.339957,-0.278783,-0.709075,-0.094462,-0.632866,-1.000024,-0.261258,-0.891134,0.165442,0.191637,0.076956,0.264542,0.774941,0.003134,0.145148
-1.757462,0.233186,0.586928,-0.356515,0.614075,0.042453,0.23524,-1.163728,0.389261,0.97169,-0.374331,-0.502492,0.986015,-0.006175,0.764299,1.184214,0.00516,0.217397,0.727959,0.558382,0.895195,-0.467309,-0.993125,0.403427,0.395657,0.230156
-0.250942,-0.499261,-0.51353,-0.293571,0.617531,0.559631,-0.330942,-0.566303,-0.008797,-0.237311,-0.373735,-0.897382,0.063676,-0.129393,0.167873,-0.879528,-0.868408,0.194498,-0.034825,-0.155927,0.043892,0.178783,1.613582,-0.48595,1.095338,0.087404
-1.650998,0.529148,-0.964119,-0.185711,1.166795,-0.532102,-0.368832,0.305586,0.060899,0.274443,0.849466,-0.96872,-0.562381,0.393503,1.112527,1.136145,-0.141427,0.82561,0.082649,-0.730684,0.62291,0.142167,0.748114,-0.0946,-0.227503,0.850189
1.183564,0.695078,-0.545987,-0.173787,-1.403962,-1.392609,-0.066175,-0.712383,-0.051722,-1.163255,-0.531638,-0.992806,-1.028251,0.147394,0.521798,0.363862,0.244865,0.052306,-0.639733,1.153591,1.030159,-0.741105,1.116986,0.050775,0.065166,-0.295932
0.197636,0.214693,-0.089683,0.562254,0.242831,0.634199,-0.09782,-0.385971,-0.348876,-0.755538,0.039866,-1.101578,-1.324134,-0.2938,-0.583058,0.635689,0.498555,-0.680181,-0.305722,-0.285758,-1.027906,0.730487,-0.81595,0.072173,-0.743112,0.116694
0.203634,-0.562732,-0.122106,-0.735321,-0.437106,0.144509,0.805595,0.828155,1.082144,0.44519,-0.22774,-0.525147,-0.496319,-0.481998,-0.682892,-0.303855,0.104163,-0.725779,-0.209266,0.053748,-0.636764,-0.240448,0.441285,-0.562312,0.723895,0.568279
0.660613,0.278195,0.21764,0.673481,0.603315,-0.677142,-0.446555,0.489142,1.243373,-0.330569,-1.398741,-0.508504,-0.707418,0.065544,-0.125586,0.525418,-0.105419,0.534965,-0.373658,-0.332327,-0.867867,-0.466252,0.310268,0.172648,1.014501,-0.667342
1.598811,0.904255,1.446853,0.129908,-1.037643,-0.282178,1.03983,-0.06272,1.401475,0.246597,-0.160194,-1.059841,-0.807879,0.397831,-1.478704,0.337979,0.746518,-1.026783,-0.979916,0.666458,-0.798015,-1.226483,0.092518,0.307662,-0.976017,1.106762
0.222738,0.057246,0.074782,-0.368162,0.829313,0.446554,0.49644,0.51496,0.204315,0.827738,-1.381414,-0.690202,-0.2304,-0.701618,-0.167766,0.70687,-0.429115,-0.005311,-0.291863,0.900385,-0.62591,1.142709,0.730258,-0.193617,-1.216704,0.513911
-0.595324,-0.170539,-0.072554,-1.1514,-0.256148,-0.126555,-0.698909,0.471644,0.844724,0.914892,-0.251122,1.039165,-0.327801,-0.005005,0.039561,-0.2016,0.373447,-1.247488,0.400082,0.499605,-0.198144,0.525989,0.489678,0.148556,0.668486,0.150313
-1.00796,0.33608,-1.091127,-0.658738,0.719921,-0.855567,-0.481945,-0.698851,-0.926642,-0.583611,-0.849923,0.962333,-0.124513,0.750031,-0.46464,-0.03178,-0.684535,-0.035947,0.728138,0.467133,1.089332,0.840998,-0.893294,-0.940525,0.988411,-0.715416
-1.905465,-0.579653,-0.600262,-0.445161,-0.068399,-0.169849,0.161172,1.07139,-0.48189,0.124874,-0.76958,0.25083,0.473425,-0.95849,1.049472,-0.295248,-0.39298,0.165147,-0.354085,-0.44556,0.677711,0.110886,0.431099,-0.535141,-0.067006,-0.734571
-0.675318,-1.189636,0.242071,-1.289233,-0.465053,0.094443,0.74341,0.253747,-0.12013,0.121294,0.017435,-1.003584,0.681665,-0.665183,0.206013,-1.033711,-0.618295,0.618278,-0.159003,-1.188917,-0.330646,-0.79881,0.660044,1.086866,0.827345,-0.460703
-0.483044,-1.066076,-0.37231,-1.051324,-0.548053,-0.196631,0.257561,-0.025363,-0.407231,0.187602,-1.143344,0.020502,0.477989,-1.060924,0.351001,-1.501897,0.356081,-0.951199,0.840955,-1.119635,0.915017,-0.697494,0.063764,-0.695828,0.32069,-0.583351
-0.890118,0.930314,0.578898,0.171401,-0.024779,0.376779,0.37795,0.265784,-0.039069,-0.348658,-0.255431,-1.177315,-0.541527,0.337244,-0.902752,0.96825,0.24512,1.238418,-0.808163,0.713887,-0.069004,1.013728,-0.856488,0.262891,-0.445358,0.375809
0.788423,0.278406,0.16743,-0.288848,0.310214,0.631904,0.45618,-0.026472,0.229645,0.115961,-0.788077,1.212081,1.052588,-0.190403,-0.854859,-0.543993,-0.338174,-0.191183,0.112072,0.503459,0.449507,0.530566,0.969947,0.596212,1.227969,-0.628272
-0.235889,0.780818,-0.33179,-0.014291,0.399717,0.085333,-0.012998,0.664454,-1.491245,-0.218116,-0.476515,0.3146,0.627586,0.217897,0.29938,0.139797,-1.261869,-1.113351,0.241283,0.835331,0.387073,0.789219,-0.093195,0.043508,-0.714463,-0.439253
0.623137,1.101601,1.155736,0.635774,-0.400469,1.327851,-1.150589,0.597215,1.214795,0.901401,-0.361822,-0.635176,-0.965958,-0.489896,-0.266677,0.872592,0.415577,-0.241933,-0.60304,1.211706,-0.757035,0.084398,-1.207904,1.130303,-0.186193,0.953044
