Virus Enters Upper Respiratory Tract,Upper Respiratory Tract epithelial infection,Infection of olfactory epithelium,Anosmia and/or aguesia,Alveolar epithelial infection,Alveolar endothelial infection,Viremia,Systemic immune/inflammatory response,Pulmonary capillary leakage,Dry cough,Productive cough
0.654772,1.267638,0.918173,-0.906092,-0.394789,0.277311,-0.099959,0.94173,-0.484116,-0.779758,0.564627
2.03264,0.950718,0.702922,-0.221195,-0.907518,-0.400748,-0.772917,0.809209,0.328771,-0.476855,-1.18265
-0.639062,-1.011157,-1.061954,-0.368124,0.574273,-0.805777,0.234383,-0.76906,0.658437,-0.400805,0.270077
-0.190571,-0.97555,0.504678,0.540162,0.598276,0.628388,0.992313,-0.433509,0.666104,0.632868,0.828123
0.232688,-0.545167,-0.191943,-0.784428,0.193215,-0.223834,-0.239867,-0.749444,-0.072863,-0.133726,-0.588771
-0.154945,0.138376,-1.525918,0.383809,-1.415552,0.580526,0.620943,-0.112941,-0.263315,-0.077695,-1.277432
-0.632547,0.080647,-0.388906,0.186005,0.919626,-1.220095,0.420006,-0.097994,-0.611228,0.389055,0.07219
1.040178,-0.272339,-1.007957,1.137042,-0.027423,0.72521,1.541703,-0.666972,0.711247,-0.613642,0.887098
-0.080912,0.326207,-0.618704,0.374078,-0.49205,0.083792,0.373827,0.072493,-0.105984,-0.83432,-0.966539
-0.358024,0.312676,-0.015376,-0.744387,0.814494,0.12736,0.176732,-0.214122,0.652894,-0.430427,1.00005
0.010103,-0.655069,-0.882388,0.760559,0.388405,-0.13014,-1.03346,1.095618,-0.674316,0.372971,0.528165
0.536968,0.431498,0.051302,-1.168416,0.380899,0.071528,0.104641,-0.444166,0.334183,0.285558,1.219243
1.228521,0.311175,0.218835,-0.396139,-0.514576,0.281028,-1.124534,0.816478,-0.016913,0.127906,-0.739299
0.625065,1.730598,1.135214,-0.660369,-0.762455,0.309561,0.471969,1.140015,-0.590666,-0.115464,-1.378115
1.281785,-0.765242,1.130297,0.476793,0.458968,0.513649,0.325583,-0.985346,1.131527,0.810523,-0.307739
-0.267059,0.391227,0.248177,-0.304821,-0.40983,-0.051344,0.473166,0.516007,-0.398465,-0.329125,0.405022
0.994445,-0.152383,0.045364,-0.381143,-0.597073,0.177636,-1.004121,0.353333,-1.043115,-0.546737,-0.288089
-3.243552,-1.234598,0.951365,-0.130552,0.833451,0.554308,0.858346,-0.56209,0.725788,1.130056,-0.945224
0.323078,0.149542,0.356589,-0.678729,-0.723497,0.553575,0.406973,0.154061,-1.188478,-0.207877,-0.415509
-0.783846,-0.951956,0.539643,-0.987361,0.866863,-1.28459,-1.083454,-0.479499,0.580815,-1.316388,0.836512
-0.780369,-0.534562,0.70385,-0.254032,-0.060829,1.259827,0.884528,-0.512315,0.340363,0.678165,0.59842
-1.206039,-0.428788,-0.777958,-0.67979,0.485509,-1.067059,-0.511359,-0.27064,0.217441,0.389919,0.896784
-1.793336,-1.151619,-0.195937,0.102567,0.449423,-1.631222,-1.479778,0.81055,-1.023079,-0.013993,-0.074527
-1.937181,-0.229997,0.572262,-0.481712,0.754881,0.148028,0.848482,-1.183597,0.654695,0.866999,-0.299184
2.05111,0.08785,-0.393343,0.347238,-0.307213,-0.000758,0.636602,-0.596803,-0.118348,1.128136,0.178273
-0.403868,-0.114243,-0.039572,0.413943,-0.99959,-0.791653,-0.408515,0.369694,-0.60437,0.186804,-0.73711
1.7706,0.448122,-1.690026,0.072851,-0.123735,0.922909,0.357603,0.56366,0.244609,0.451636,-0.067441
0.061768,-0.243615,-0.665483,0.208677,0.451223,-0.639438,0.015167,-0.012329,0.341784,-0.135633,0.989434
-2.050908,0.056616,0.586003,1.119997,0.182607,-0.28861,0.139666,0.789753,0.079048,0.317425,0.328092
-0.680582,0.886455,0.543693,-0.412128,-0.143346,0.648963,0.193306,0.211311,0.737875,1.050869,0.020083
2.03368,1.547999,0.177629,-0.238837,-0.954417,0.700414,1.053144,0.933071,-0.936126,-0.505561,-1.194011
-0.931517,-0.414556,0.999281,0.235352,0.482653,-0.323838,-0.969787,0.78868,-1.036229,-0.2083,-0.909352
-0.913745,0.624132,-0.627546,-0.835158,-0.122862,-0.996417,-0.105917,0.328011,-0.364444,-0.365003,-1.056925
-0.384651,-1.359536,-0.217822,1.209226,1.254085,-1.091897,-1.095149,-0.966598,1.122008,0.032035,1.152552
-0.392228,0.063434,0.770755,0.399469,1.18754,-0.858687,-0.057273,1.539889,-0.279969,0.373491,1.375513
0.96218,0.41133,0.392664,0.485443,-0.885863,0.966486,0.263858,0.57744,-0.421041,-0.522477,-0.780424
-0.357075,0.928417,0.041548,-0.951885,-0.228436,-0.309337,0.058028,1.393697,-1.433385,0.89608,0.707067
0.986118,0.753502,0.565849,-0.159781,-0.594811,0.467697,-0.431414,0.427047,0.00134,-0.283619,-0.121843
0.754375,0.728641,0.6507,-0.476694,-0.231015,0.057382,0.175831,0.115539,-0.740283,1.322473,-0.92594
1.342924,0.409761,0.802428,0.016583,-0.707815,-0.625337,-1.04295,0.365143,-0.305784,1.007935,0.501386
0.64809,1.112895,-0.059695,0.458529,-0.772555,0.584152,0.738146,0.572557,-0.094941,-0.141079,0.190228
-0.907907,-0.362982,-0.579846,0.441369,-0.22623,1.012326,0.259212,0.192158,0.13208,0.55923,0.500562
-1.251814,0.753628,0.053332,-0.388742,0.488312,-1.093334,0.227088,1.313392,-0.769753,-0.266958,-0.444531
-0.486994,-1.043561,-0.025964,-0.121104,-0.024049,0.774928,-0.248936,-0.687359,0.332434,0.86773,0.249991
-0.847378,0.680911,-0.477598,0.50605,-0.813258,1.02313,1.008987,0.319659,-0.784271,-0.683681,-0.552125
0.083422,0.175456,0.332304,0.221,-0.751952,-0.138128,-0.777916,0.812552,-0.351935,-0.620512,0.170908
-0.44979,-0.624086,0.72593,-0.324531,0.977614,0.422976,0.141151,-0.573418,0.561966,0.144652,0.648701
-0.115582,-0.844014,-0.670751,-0.261141,-0.26599,-0.290251,-0.123864,0.608027,-0.713399,-0.035893,-0.563766
-0.3188,-0.61414,0.3104,0.852931,0.84022,-1.377127,-0.640729,0.354622,0.26871,1.223572,1.059647
1.628228,0.805872,1.031376,-0.340841,-1.083259,-0.891588,0.141892,0.499641,-1.297227,-0.740778,-0.165413
