GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
-1.04573,0.162897,0.081869,-1.254478,0.725258,-0.077328,1.026072,0.335016,-0.461006,-0.816279,-0.59123,0.468963,-0.709048,0.151875,0.86232,-0.585342,-0.479065,0.182056,0.678741,0.431742,-1.065139,0.303133,-0.001919,0.394316,-1.178829,1.137657,-0.82229
-0.261966,-0.418962,1.09939,0.373542,0.258498,0.515856,0.837977,-1.041955,-0.305153,0.810463,1.503178,0.540213,0.590476,-0.405376,-0.262105,1.300521,-0.15817,-0.804379,0.083753,0.146025,0.334427,-0.595442,0.704474,1.246059,0.421757,-1.433096,-0.197201
-1.23443,0.439287,-0.683969,-1.319891,0.210975,0.713989,-0.350688,0.558773,-0.875869,-0.848071,0.012976,-0.680073,-0.502976,0.214282,-0.109436,-0.374101,0.322735,0.698236,0.518548,0.529572,-0.232077,0.411803,0.016506,0.319721,-0.759155,-0.471278,-0.17672
-0.506048,-1.367883,1.000189,0.799203,0.506001,0.702329,0.589855,-0.390107,-0.719994,-0.947767,0.33547,-0.516265,1.091481,0.386639,-0.262608,0.319639,0.728952,-0.881048,-0.618266,-0.779032,0.417803,-0.746808,0.992417,0.931379,-0.550554,-0.466948,1.090216
0.469005,-0.228043,1.015408,-0.566853,0.581026,0.036052,-0.950425,1.743329,-0.394027,-0.490396,-0.921024,0.30825,-0.173907,0.280367,0.704963,-1.335377,0.018365,1.109461,-0.935203,0.050702,0.588172,-0.498007,0.521994,-0.732955,-1.105083,0.707783,-1.337816
0.180142,-0.63828,0.159301,-0.331118,-0.910951,-0.703949,-0.636551,0.167385,0.012498,-0.234239,0.218555,0.245717,0.708053,-0.622098,0.759727,0.979074,-0.05056,-0.866808,-0.55228,-0.533813,0.035951,0.075976,-0.435305,-0.373505,-0.309164,-0.755825,-0.718423
-0.211134,0.790113,0.799176,0.710666,-0.124812,0.470442,-0.134749,-0.143398,-0.054092,0.598935,-0.13858,-0.916249,0.290984,-0.491341,-0.14406,1.065366,0.682464,0.112995,0.897311,-0.00077,0.825777,-0.956264,0.195899,0.435471,1.217398,-0.435905,-0.28962
0.027464,0.282437,-0.642556,-0.603543,-0.655171,1.042893,0.289778,0.147117,-0.863201,-0.73178,0.316162,-0.42432,0.935062,-0.232384,-1.462963,0.819254,0.751901,0.465606,0.83986,-1.236693,0.119094,0.303681,0.661954,-0.678348,-0.019181,-0.656031,0.603891
0.318388,-0.042943,-0.270676,-0.913896,0.283412,0.6607,0.743448,1.072489,-0.339333,-0.707646,0.227266,0.409081,-0.551736,0.359437,-0.443072,-0.485053,-0.23311,0.859164,1.178645,-0.948924,-1.183708,-0.230228,-0.08676,-0.509725,-0.403807,1.448292,-0.436179
0.838842,-0.261987,0.079369,0.229785,-0.156849,-0.547695,-0.511819,-0.764547,0.404724,-0.023008,1.096776,-0.636077,0.216056,-0.684696,-0.089869,-0.432176,0.029456,0.389409,-0.453926,-0.732541,0.03204,0.825151,0.113751,-0.136459,0.253358,-0.80988,-0.807639
-0.028454,-0.834273,1.118181,0.198329,0.597263,-0.098084,0.42576,0.482635,-0.779807,0.717067,-0.867402,0.473191,0.36191,-0.580242,0.368297,0.80203,-0.842905,-0.568283,-0.836138,0.499243,0.959969,0.362778,-0.46209,-0.961137,0.299293,0.689673,-0.210604
-0.377305,1.273418,-0.811526,0.244775,-0.905577,-0.198884,-0.671388,0.061335,1.131617,0.52637,0.103025,-0.123322,-0.897576,0.604718,0.004821,0.450867,0.571879,1.005983,-0.407511,0.31107,-0.524561,-1.150082,-0.879936,-1.287968,1.272065,-0.377784,-0.606588
-0.529979,0.164008,0.217764,0.950553,-0.008451,-0.313677,-0.062342,0.723017,0.79202,0.056421,-0.327678,0.137052,0.292024,-1.036326,0.5272,0.361651,0.687467,-0.544932,-0.433041,1.629529,-0.865076,-0.553462,0.290836,0.075214,0.079932,-1.057306,0.216059
-0.643634,-0.636577,0.225122,-0.023118,1.171508,1.293052,0.407625,0.918504,-0.036451,1.191361,-1.406038,0.846819,1.06917,0.193453,-0.717246,1.500924,0.234472,-0.696654,-1.045123,-0.385741,-0.488825,0.250135,-0.32878,-0.448724,0.533989,0.281444,0.02098
-0.539176,-0.814609,-0.866161,-0.841762,-0.799068,-0.759252,-1.815997,-0.018033,-0.310421,0.182719,-0.448035,1.349078,0.199436,0.466793,0.573615,0.437939,0.867497,1.692036,-0.100486,0.916792,-0.002447,0.318597,0.374883,-1.018244,0.627989,0.578187,-1.55926
-0.479992,0.42596,-0.478718,-0.936403,-0.635229,0.201086,-0.427272,0.009173,-1.036718,0.34751,0.020144,0.047514,0.284679,-0.116885,1.138274,-1.536405,-0.526024,0.939934,0.753309,0.823232,0.907441,0.029237,-0.14818,-1.451067,-1.129805,-0.566601,-1.16766
0.046482,-0.535961,-0.343763,-0.708205,-0.75822,-0.600602,-0.672747,-0.516033,0.2585,0.640605,0.59138,-0.877824,0.250312,-0.536059,0.589904,-0.562208,-1.11445,0.343689,1.033927,-0.553937,1.161987,-0.082424,-1.076717,-0.28677,-0.243604,0.658375,-0.464474
-0.372991,-0.551865,0.69815,0.012254,0.827021,-0.338779,-0.268139,0.393829,0.155231,0.462093,-1.882099,0.31895,0.547022,-0.527491,0.789862,-0.336245,0.255526,-0.56319,1.241523,0.885182,1.039086,-0.82246,-0.547818,-0.491862,-0.713759,-0.860459,-0.567583
