right C7,right elbow trouble,left shoulder trouble,left bend of arm problem,right shoulder trouble,right hand problem,left medival elbow problems,right finger trouble,left neck problems,left wrist problems,left shoulder problem,right neck,right wrist problem,right shoulder problem,discoligment injury C6-C7,left hand problem,left C7,right arm band,left lower arm disorders,neck pain,left finger trouble,left arm,left elbow problem,right lower arm disorders
0.25951,0.43244,-1.070222,-0.354526,1.206791,-0.351389,-0.058314,0.66689,0.350274,-1.034337,-0.169553,-1.134777,-0.071834,-0.053455,-0.763291,-0.331903,-0.900616,0.782403,0.245446,-0.264383,-0.693089,0.827826,-1.050409,-0.126683
0.70492,1.118749,-0.284618,-1.334776,-0.282474,0.10136,0.553106,0.672877,0.886987,-1.050816,0.851287,0.212693,1.185634,0.318914,0.545786,0.011962,-0.839926,0.353174,-0.809405,-0.151438,-0.208732,0.758066,-0.389296,-0.542752
-0.034825,0.399541,-1.198911,0.042033,-0.809023,-0.095915,0.080454,0.805926,-0.257751,0.258502,0.891089,-0.319211,1.299649,-0.841436,-0.899398,0.488538,-0.822367,-0.050838,-0.32413,-0.324025,-1.158317,0.898521,0.192586,0.047577
0.698783,0.090936,-0.667602,1.048704,1.109523,-0.220151,-0.051832,0.746989,0.192818,-1.046024,1.235304,0.009137,-0.236136,0.161569,1.419172,-0.337582,-0.670823,0.703501,0.990114,-1.008172,-0.280297,0.945531,-0.800189,-1.544742
-0.620281,0.626426,0.379253,0.485112,0.242941,-0.19731,0.155133,-0.101057,-1.409394,0.62751,-0.666309,-0.657774,-1.042409,-0.049547,0.444877,0.959594,-0.508667,-0.825692,0.914412,0.877515,-0.917563,-0.21886,0.833771,0.779678
-0.882679,-1.281093,-0.729047,-0.942311,0.541986,0.250821,0.028641,0.296608,-0.328703,-0.074352,0.793456,-1.129319,0.56472,-0.593425,1.000623,1.03339,-0.678957,-0.50284,-0.486082,0.448047,1.15379,0.45811,-0.714563,0.706558
0.667649,0.206302,-0.83413,-0.322861,-0.519041,-0.486741,-0.404247,-0.855923,-0.177152,1.007981,-0.357527,-0.183791,-1.0793,0.324434,0.32406,-1.076509,-0.2762,-0.430014,-0.687382,-0.413079,0.240378,0.346878,-0.590101,-1.162933
0.458741,-0.481365,-0.916406,-1.092717,0.662272,0.576652,1.083404,0.340049,-0.327107,0.795052,0.921033,0.813324,-0.552767,1.294909,0.307103,0.529759,-0.99759,0.048842,1.003906,-0.69458,-0.497227,-0.448766,-0.769605,-0.323273
-0.395135,-0.929786,0.956588,-0.0983,-0.348768,0.533628,0.824022,0.854326,-0.326852,0.261682,-0.422338,-0.289624,-0.569902,-0.266384,1.405703,-1.043117,0.153338,0.734009,-0.655796,0.992911,0.536677,0.805025,-0.281036,0.92291
-0.471379,-0.773026,-1.034638,-1.444812,-0.704929,0.743676,1.191247,0.013435,-0.984756,0.421416,0.31101,0.041171,1.350576,0.209174,-0.231233,0.822609,-1.048934,0.431509,-0.198993,0.873741,-1.047548,-0.329722,-0.750119,1.02613
0.551685,0.72317,0.058962,1.10091,-0.50569,0.432859,0.840904,0.625987,-0.42078,-0.516941,-0.037819,1.125738,0.279271,-0.029355,0.900547,0.487232,-0.249921,0.078157,1.252157,0.000963,-0.120159,-0.124226,-0.629475,-0.785557
-0.984804,-0.417573,0.90029,0.18723,1.301696,0.325882,-1.242605,-0.383113,0.153976,0.474126,0.13006,-1.692312,-0.552964,-0.864246,-0.521752,0.638278,0.818311,0.227926,-0.519863,0.930624,-1.210315,-0.733715,0.732345,0.618118
-0.961299,0.101971,-0.315416,-0.793,-0.34127,0.971284,-0.167716,-0.603626,0.287989,1.209564,-0.476171,-0.415841,0.342315,-0.083989,0.461282,-0.785659,0.627377,-0.882805,-0.456962,1.228963,0.724761,-0.955942,1.225101,1.464153
0.877045,-0.994754,-0.399084,1.349344,-0.461076,-0.711781,-0.63568,1.077168,0.226548,0.0713,0.210241,1.0265,0.981362,0.003004,-0.200407,0.926832,0.319069,-0.933417,-0.854076,-1.278273,-0.088274,0.602045,-0.242548,-0.588472
-0.598596,-0.199134,0.422645,0.685852,0.536829,-0.106873,-1.314771,-0.574225,1.220636,0.33247,-0.498295,-1.152637,-0.315395,-1.068565,1.851886,-0.74892,0.49828,-0.729577,0.635696,0.326781,0.240989,0.418734,0.724225,0.322151
-0.677076,-1.60883,0.808488,-0.036473,-0.197638,-0.457494,-0.197249,-0.898797,0.70056,0.726189,-0.989677,0.110516,-0.489097,-1.103345,1.336305,0.676548,0.335258,-1.131104,-1.415574,0.563541,0.74702,-0.81892,1.555116,0.774091
-1.064097,-1.18864,0.866969,0.35232,0.015949,1.715302,-0.17974,-1.271784,0.804151,0.145069,0.241927,-1.011361,0.008391,-1.152175,-0.086616,-0.401489,0.951972,-0.794749,-0.327812,1.200255,0.391983,-0.471648,0.652975,0.656006
0.27797,-0.214257,0.976927,1.186283,-0.456355,-0.20078,-0.262398,1.150708,0.992424,0.25596,-1.133951,0.58357,-1.093688,1.15818,-0.101608,0.527652,0.48396,0.681183,0.159883,-0.066751,-0.730596,-0.073576,1.467117,-0.749919
-1.226677,-1.088759,1.32902,0.934276,0.078734,0.271565,-0.413716,-1.042749,0.864379,1.211395,-0.572449,-0.590078,0.396164,-1.080392,1.30189,0.952195,1.489611,-1.040444,-0.415807,1.00026,0.278474,-1.323244,0.282183,0.9897
-0.391438,-0.668605,0.67668,0.551623,-0.154283,1.0146,-1.055018,0.437897,-0.564707,1.712861,-0.103684,-0.52478,0.783611,-1.06236,0.881332,0.198866,0.828374,-0.726776,0.046801,0.123478,0.470392,-0.396411,-0.39107,0.08372
0.209065,0.429326,-0.218333,-0.20718,0.463781,-0.926981,0.374073,-1.045156,-0.330158,0.635119,0.462857,0.995491,-0.308531,0.161144,-1.008951,0.032146,0.312093,0.683096,-0.942637,-0.170934,0.898639,-0.690863,-0.271574,-0.555374
-0.52237,1.178023,0.748965,-0.12145,0.733247,1.129623,-1.640506,-0.59421,-0.647326,-0.68441,0.250747,-0.311113,0.987646,0.645446,0.072052,0.186526,0.094812,0.960998,0.135846,-0.534988,-0.063421,0.565684,1.338589,0.617631
0.353022,-0.77875,-0.230117,-1.041878,1.077737,0.389032,-0.164851,0.197839,-0.909185,-0.248042,-0.136976,-0.539659,0.004692,0.237847,-1.086464,-0.703693,-0.27152,0.434764,-0.101905,-0.661377,-0.007588,-0.827308,0.294178,-1.28677
-0.547378,1.205547,0.685996,-0.336113,-0.025824,-0.443108,-0.077434,0.167293,-1.131286,0.351979,-0.246152,-0.528136,-0.767667,0.295805,0.119564,-1.261552,0.044086,-0.20563,-0.486209,0.471777,1.174016,0.093006,-0.843353,-0.610098
0.921547,0.762754,1.015734,-1.242627,-0.532501,0.680983,0.824368,0.638006,-1.466713,-0.216349,-0.966834,-0.500063,0.995541,-0.07769,0.522223,1.039149,0.705539,0.77355,-0.837821,0.140197,1.167787,0.192221,-0.006831,-1.300613
-1.165322,-0.916633,0.59248,1.112189,-0.670627,0.934932,-0.200143,0.155888,0.532753,0.180986,-0.025549,-0.3107,-0.67095,0.771231,0.270785,-0.709059,0.402486,0.013693,-0.733621,1.20605,0.651779,-0.525852,-0.46145,1.007871
