visit to Asia,tuberculosis,either tuberculosis or lung cancer,positive X-ray,dyspnoea,bronchitis,lung cancer,smoking
0.59741,-0.299837,-0.35355,0.759324,-0.420211,-0.164489,0.769884,0.042015
-0.933607,0.287734,1.027439,0.382678,-0.398705,0.288981,0.274237,-1.378661
0.415439,-0.726893,-0.826153,1.674815,1.39365,0.481704,1.288329,-1.812253
0.695301,0.341581,0.441223,0.310509,0.286458,-0.364317,-1.065102,1.393012
0.822221,0.136242,0.002715,-0.458777,-1.074921,-0.382011,0.642392,-0.071205
0.656288,0.834433,0.818152,-0.187875,-0.70729,-0.339753,-0.706424,0.31128
-1.516421,-1.164224,-0.146693,0.879703,-0.152679,0.040681,0.670506,-0.653894
2.313471,1.139108,0.856137,-0.876575,-1.430858,-0.819267,1.265425,-0.103915
1.115544,1.254932,1.109724,-1.47425,0.081424,-0.42201,0.746894,-1.001964
0.269677,-0.091873,-0.063998,-0.288165,-1.23377,-0.126586,0.34392,0.009639
-0.51979,-0.196874,0.114022,0.304437,0.126443,-0.909253,0.235089,0.168539
-0.995682,-0.433544,-0.110622,-0.805627,-0.583534,-0.91964,-1.321734,1.308751
0.816474,1.712887,0.832184,-0.113019,0.787198,1.049939,-0.062196,-0.086505
-0.825755,-1.113598,0.220225,0.652491,-0.218258,0.23603,-0.460967,-0.34809
0.081874,-0.463309,-0.167502,0.221877,-0.023631,-0.964155,-0.169053,0.70668
0.294865,0.980811,-0.218263,-0.168361,0.900121,-0.191565,0.318595,-0.57315
-0.081785,0.565731,-0.033716,-0.404328,-0.137558,-0.780551,-0.191982,1.449
-0.651768,-0.774547,0.587687,-0.094212,-0.465933,-0.959766,-0.842131,2.309433
1.822389,0.633242,0.547494,-0.564869,0.071856,0.052819,0.073774,-0.04623
-0.000835,-1.301981,-0.638682,0.325245,0.786248,1.003055,0.334169,0.031149
-1.447493,-1.38923,-0.26986,0.500407,-0.102401,0.380268,-1.105272,-0.151658
-1.744276,-0.530988,0.525221,-0.235625,-0.548943,-0.248662,-0.412327,0.905442
-0.138387,-0.678396,-0.820229,-0.255932,1.424488,-0.559859,1.090486,0.754411
-0.300496,0.24055,0.491582,0.743457,0.430761,-0.413169,-0.152052,1.067322
0.985098,-0.085379,0.349038,0.335555,-0.437693,-0.928075,0.493113,0.667532
1.131476,0.628493,0.363494,-1.417346,0.210271,0.295045,-1.197009,1.28398
0.163052,-0.002745,0.993981,-0.358627,-0.306287,-1.201622,-0.375108,-1.213425
-1.089422,-1.22164,0.895141,-1.2354,-0.021557,-0.428047,0.707141,0.108886
0.809244,0.92951,0.430046,0.81065,0.517553,0.553497,0.620013,-0.570544
0.977026,0.237793,0.285496,-0.038943,0.625623,0.340318,0.299746,-0.779905
-1.014452,-0.692825,-1.073194,1.061234,0.686961,0.704888,0.335658,0.965637
-0.555607,-0.36683,0.120832,-0.633336,1.271006,0.657394,0.120357,-1.00441
-0.354984,-0.239568,-0.287547,1.202904,-0.169045,0.171859,0.218528,-1.292199
-0.153389,-0.722036,-0.709681,0.459487,0.695514,1.425409,0.562002,-0.230531
-0.113179,0.605385,-0.071742,0.854423,-1.056781,-0.750238,0.828298,-1.68412
-1.535513,-0.802983,-0.978614,-0.047509,-0.545054,-0.976747,-0.517845,-0.137238
0.142078,0.481987,-0.51949,0.127839,0.829292,-0.82803,0.099984,0.36609
-0.604323,-0.744749,1.376657,-0.886859,-1.013232,-0.103688,-0.130738,0.946527
0.760507,0.765616,0.415637,-0.32368,-0.651357,0.082528,-0.781484,0.445712
-0.320385,-0.410044,-0.657201,0.10049,0.65377,0.624081,0.901335,-0.135099
0.507818,-0.795537,-0.958817,0.197421,0.475478,-0.424559,-1.129539,2.259388
-0.012,0.360725,0.092862,0.03291,-0.830819,0.800027,0.23918,0.937851
-0.233188,0.069181,1.298245,-0.927756,-0.027958,0.129104,-0.787987,1.594033
-0.459036,-0.822184,0.071614,-0.006355,-0.123415,0.307716,-0.539332,0.375034
-0.205729,-0.183191,0.27996,-0.447809,1.209825,0.403394,-0.254259,-1.087176
-1.360444,-0.388013,0.887865,-1.108409,-0.66697,0.537184,-1.02224,-0.678029
1.207823,0.548998,0.333398,-0.988471,1.204186,0.656053,-0.389813,0.760687
0.168914,0.695605,0.038704,-0.434855,-0.225006,-0.255952,-1.509672,0.511373
0.659595,0.71516,-0.742742,0.566856,-0.255884,-0.062637,-0.340019,-0.964318
0.357158,0.596483,0.019584,0.042026,-0.216814,0.854717,0.777384,-0.210982
0.429953,-0.112898,0.363164,-0.567381,0.428005,0.954406,-0.016306,0.407683
-0.120501,-0.528745,-0.56111,-0.078319,0.039836,-0.254732,1.172421,0.707247
-0.417602,-0.66586,0.768488,0.924144,-0.256332,-0.684147,1.147136,-1.665295
0.729612,1.191602,0.609809,-0.013445,0.679031,0.688777,0.324904,-1.558444
-0.738379,-0.209836,0.715309,0.363406,-0.737255,-0.268517,-0.380603,2.098581
-0.157911,-1.133212,-0.618573,-0.225809,1.162898,-0.517973,-0.19827,0.046827
0.405914,-0.654405,-0.330935,-0.918777,1.139939,0.288191,-0.816192,1.452726
0.780249,0.654235,0.632317,-1.005665,-0.320674,-0.210504,-0.35632,0.273614
0.914681,1.224816,0.582087,0.454063,-1.07616,-0.440452,-0.35678,0.019497
-0.186183,-1.012536,0.814664,1.140288,-0.352606,0.051472,0.586677,1.036305
0.257893,-0.843224,-0.377192,-0.715521,1.140954,-0.226181,-0.038187,0.129078
-0.011374,-0.567842,0.612224,-1.161095,0.705175,0.147364,-0.833033,0.440558
0.522735,0.488046,0.449962,-0.677968,-0.615101,-0.19455,0.347984,-0.167695
2.077835,0.694141,-0.206251,-0.854104,-0.295057,-1.239749,0.060733,0.371309
1.04579,0.796562,0.509842,0.391218,0.980154,0.395542,0.25738,1.896295
1.136504,0.705193,0.275765,-0.904431,0.675414,0.609203,0.514123,-1.628468
0.75302,0.937993,-0.699266,1.083352,-0.958835,0.124985,-0.432229,0.692805
0.218612,0.772442,-1.786549,0.231935,0.506897,-0.402574,-0.858574,0.513565
-0.035712,-0.855955,-0.789145,0.514599,0.537693,-0.000996,0.504871,0.854494
-0.174537,-0.389362,0.065655,0.45684,-0.984347,0.791835,0.925889,-0.802277
-1.013572,-1.483983,-1.159201,1.078838,0.436188,0.315676,-0.140139,-0.050788
1.959264,1.426938,0.112564,-0.308965,0.880459,0.50362,-0.994678,0.208275
0.339893,0.629614,-0.63798,0.802614,0.821429,0.405206,-0.86664,1.871214
-0.336522,0.149662,-0.193077,-0.197585,0.224807,0.345877,-0.09703,-0.507234
-1.548675,-0.804306,-0.522557,-0.788382,-1.200802,-0.783021,-1.392485,1.153115
1.346218,1.022649,0.844834,0.079697,-0.869543,0.20727,-0.455501,-0.122456
-0.302058,0.101582,-0.419076,0.891854,-0.505706,-0.325962,1.405831,-0.214923
-0.295052,0.100633,0.228688,-0.335965,0.3974,0.705598,1.164098,-1.397769
0.192344,0.424629,0.606047,0.809887,-0.301317,0.937847,0.699707,-2.103879
1.658637,0.491729,-0.352494,0.142775,0.314203,1.188743,-1.067327,-0.329153
-1.996985,-0.96554,-0.819814,-0.512747,-0.190424,-0.851695,0.073946,-0.858936
0.234324,0.697534,-0.32312,-0.245631,0.321991,-1.125684,-0.436668,0.750184
-0.836227,0.174652,0.572817,-0.633031,0.881465,1.285555,0.562232,-1.821554
-0.02387,1.411754,-0.04302,-0.618116,-0.265264,-0.616786,-0.871775,1.370324
0.888822,-0.066574,0.898085,-0.329022,0.296871,-0.099235,0.432554,-2.279813
-0.218681,0.32301,-0.742015,0.972758,0.541902,-0.277617,1.028471,-0.228635
0.899029,1.117606,0.091427,1.20686,-0.014731,0.156492,0.114635,0.055791
