visit to Asia,tuberculosis,positive X-ray,dyspnoea,bronchitis,lung cancer,smoking
-0.707337,0.920503,-0.414189,-0.477969,-0.636682,-1.809115,-1.340925
0.791071,-0.987232,0.035923,-0.586999,0.590458,-0.6468,1.453837
-0.868823,1.407885,-0.028411,-0.703266,-0.929072,-0.669298,-1.132883
0.305874,-0.662141,-0.000835,1.000351,0.757637,0.207257,0.840465
-0.482081,0.688793,-0.705105,-0.565845,0.057885,0.195085,0.443338
-0.626956,1.023358,-0.809339,-0.597381,-0.043712,0.462007,0.844442
-3.587628,0.713215,0.694722,0.483341,0.561319,0.148482,0.278664
-2.497592,-0.205232,0.100846,0.180257,-1.101437,-0.4005,-1.267104
0.360673,0.3463,2.038922,-0.843581,-0.448226,-0.180396,0.26473
-0.063299,-0.979786,1.238228,1.567645,-1.400674,-0.642705,-1.546903
-0.855335,-1.348111,1.349496,-0.840413,0.719117,-0.890848,1.795738
-0.555458,-0.136667,0.369254,0.833191,0.443848,0.395136,1.328586
-0.716856,-0.100397,1.441037,-0.014906,0.230067,0.410743,1.338991
-1.47318,0.58848,0.428156,0.765429,0.619027,0.086728,0.742198
-1.068809,1.176105,-0.008838,-0.155549,-0.400117,0.152099,-0.126608
0.287827,-1.22054,0.564603,-0.02967,0.278686,0.402899,-0.434557
-2.888931,0.746605,-1.091609,1.456812,-0.482893,0.599831,-0.660008
1.121414,0.253901,-1.437207,-0.970623,-0.467039,-0.305463,-0.766173
0.011126,0.486281,0.881132,0.545391,0.053084,0.851005,0.51112
-0.386631,0.528067,1.831245,-0.458754,-1.338846,-0.789048,-2.287096
0.50767,-0.609694,-0.284026,-0.538073,0.604978,-0.688463,1.122573
-0.57371,-0.212588,-0.257555,-1.305856,-1.421497,-0.880354,-2.30796
0.404941,0.009038,-1.08558,0.60382,0.169545,-0.134506,-1.351942
-0.629564,-1.026446,0.318583,-0.944014,0.047088,-0.45219,0.725229
0.337493,0.581074,-0.178151,-1.094277,-1.140421,-1.394281,-0.659032
0.30795,-0.313865,-0.486248,-0.386479,-0.650969,-1.755902,-2.19827
0.085195,0.28246,0.221749,-0.540085,0.343509,1.243,0.20862
0.26677,-0.272268,-0.294621,-0.28899,-0.84733,0.735346,0.317975
1.310372,0.084346,0.097489,-0.139515,0.287374,-1.310479,-0.828633
-0.840634,0.693594,-0.33993,0.448539,-0.381921,-0.16456,-2.351101
0.414989,-0.711682,-0.045232,-1.189514,-1.057848,-0.4544,0.012773
-1.300648,1.294382,0.693458,-0.799737,-0.317822,1.071809,-0.973091
0.780355,-0.746175,0.954625,1.611046,0.216483,-0.030527,-0.783623
0.649581,0.181537,-0.351285,1.045981,0.472116,-0.544311,-0.808685
0.874803,-0.51071,1.602468,0.486466,-0.402809,-0.721793,-0.470009
-0.540952,0.63681,-0.667926,-0.418917,-0.4835,1.523878,-0.176955
0.263484,-1.195417,1.36757,0.010828,-1.129593,0.221241,-0.092664
0.323077,0.104403,1.41498,0.403442,-0.775691,0.664166,-0.035664
-0.093732,-0.824818,0.758335,-0.471858,-0.660465,-0.217388,1.252132
0.124816,0.968908,1.544056,0.951571,0.225603,0.093646,-0.402013
-1.319577,0.715567,1.373135,-0.460131,-0.307406,-0.505642,-1.197893
0.140165,0.477787,0.335171,-1.237573,0.796439,1.379818,0.704636
0.273051,-0.206034,-0.622964,1.25187,0.654389,-0.35524,-1.0372
1.1321,-0.311861,-2.1725,0.49505,0.850815,-0.897066,-1.003206
-0.407209,0.324135,-2.112259,-0.891556,-1.11257,0.446885,-0.900172
-1.620367,0.868174,0.183125,-0.448653,-0.046211,0.965979,1.165582
-0.313715,0.181497,-0.744281,-0.603589,-0.993611,-1.310217,-0.399768
0.431767,0.491419,-0.692472,0.195844,-0.071243,-0.613952,-1.00544
0.19635,0.3954,-0.321924,-0.653411,0.17569,0.272791,-0.042008
1.268843,-0.956738,1.050764,-0.07566,-0.558384,0.026956,-0.306822
0.464608,-0.378912,-0.033835,-0.226751,0.586741,0.14926,-1.035421
-0.531799,0.844464,-0.108326,1.031423,0.729831,0.55295,2.006398
1.161285,-1.439261,0.732458,0.586511,-1.471885,-0.051465,-0.124565
2.440729,-0.820415,0.084566,-0.336636,0.974174,1.400746,1.037412
-0.336305,0.635236,0.129472,-0.621111,1.608324,-0.068606,0.939378
0.92012,-0.750476,1.210558,0.693531,0.84099,-0.289083,0.262557
-1.341008,0.428352,1.147464,-0.746349,-0.423231,0.863179,0.147043
-0.502099,0.945634,0.577036,0.221679,0.600888,-0.465228,0.733438
0.252178,0.64658,0.014247,-0.275884,-0.489897,-0.24355,-0.625261
-0.902396,-0.53429,1.337879,-1.376042,-0.103725,-0.487495,-1.544723
-0.846346,0.055126,-0.12236,-1.484732,-1.005262,-0.137315,-1.746907
0.760787,-1.095094,-0.512183,0.056579,-0.543845,-0.733087,-1.303669
0.009753,0.218779,-0.315152,-0.980497,-0.731205,-0.360221,0.186586
-0.180347,0.866898,-1.412069,-0.132135,-0.271982,0.607785,-0.310664
-0.201311,1.206656,-1.080861,-0.232268,-0.946346,-1.173924,0.181485
-0.333273,-0.719886,0.131949,0.124042,-0.07243,0.490026,-1.088287
0.084534,-1.120719,0.760039,0.182988,0.764491,-0.561707,-0.34114
0.371763,-0.468054,0.365038,0.796171,-0.145138,0.21602,0.910158
0.873842,-0.08028,2.091056,0.492235,0.636472,0.622861,0.983471
-0.152236,0.729785,0.792906,0.464615,0.240334,-1.068072,-0.049879
-0.36441,1.27406,0.091089,0.677173,1.06317,-0.411116,-0.011066
0.041252,-0.24847,1.060684,-0.352974,0.720878,-0.802041,1.472273
-0.344261,-0.882822,-0.210861,-0.587299,-0.243116,-0.34481,-1.391893
1.391056,-0.499577,0.063409,0.041699,-0.466393,0.454002,0.586944
0.183137,0.48837,1.098066,0.436143,-0.186454,0.600669,1.783504
0.964031,-0.999225,-0.566514,-0.806561,-0.864755,0.971345,1.022414
-0.27852,-0.243387,-0.006104,0.034671,0.652564,-0.525506,-0.774554
0.981116,0.568348,-1.126861,0.43388,0.641648,0.17794,0.333215
1.016641,0.783914,-0.87688,0.526482,-0.717559,0.939993,0.843
0.552568,0.46295,2.04721,1.105713,0.810045,1.497905,1.511456
-0.387755,0.434911,-0.936777,-0.56846,0.294416,-0.906246,0.440538
-1.262201,0.509525,-0.795769,0.9687,0.814857,0.313089,1.757057
-0.095887,0.033908,-1.173294,0.271209,1.056215,1.123433,0.64515
0.625439,0.500935,0.558147,0.045062,0.685769,1.114285,0.996498
0.794009,0.205121,1.065512,-0.367006,-0.032662,1.105782,2.185354
-0.927115,-0.380294,1.759209,-0.104744,-0.706038,-1.241414,-0.789685
-0.12578,-0.978008,0.514626,-0.26722,0.766179,-0.611542,0.062228
-0.271902,-1.060051,-0.522714,0.938265,-0.007273,1.088252,1.079865
0.049291,-0.084362,-0.855934,-0.080281,-0.603755,0.775563,0.673138
0.015808,0.023617,-0.927079,0.271819,0.373089,-1.087014,0.478657
-2.425256,0.974997,0.438908,1.29126,0.994655,0.672514,1.924242
-0.639892,0.46448,-0.584027,0.037318,1.174734,-0.424753,-0.636122
2.41217,-0.593348,-0.630661,0.393372,-0.945577,-0.679939,0.033015
2.297788,-0.878244,1.535999,-0.866346,-0.97834,-0.483185,-0.525308
-0.582445,0.560149,-0.714116,-0.405765,1.027362,0.302406,0.917191
1.841706,-0.698552,1.846585,1.087938,0.197182,0.12752,-1.891468
-1.581054,1.093985,0.19728,-0.983055,0.307928,-1.450166,-1.911332
-0.604897,1.208956,0.156522,-0.482423,-0.664287,0.899753,1.161055
0.15086,-0.488743,1.479298,0.402981,0.475043,-0.308637,-0.299883
