Age,Sex,Education,Occupation,Residence,Travel
0.239727,-1.737956,-0.081989,-0.607646,-0.589672,-1.465346
-0.429179,0.034573,0.123185,0.756027,1.338361,0.187347
-0.582874,-0.888147,-0.652547,0.429526,-1.035717,0.061312
-1.540135,0.111762,-0.483286,0.217122,-0.988129,0.299933
0.366865,1.5944,0.93492,-0.486425,1.087879,0.387854
0.12561,-0.309553,0.693602,-1.435145,0.633074,0.070074
1.003601,-0.052367,0.283332,1.492084,-0.392156,0.898617
1.52159,0.334842,0.846168,0.582471,1.060686,0.875526
0.986525,1.778617,1.383514,-1.17465,0.215277,-0.701396
-0.879471,0.671332,-0.372132,1.04891,-0.211935,1.007023
-1.929216,-0.868624,-0.35959,0.942248,-0.565798,0.37521
0.955723,0.320698,0.93626,0.06457,1.06668,-0.155181
0.423701,-0.850986,-0.428264,0.581575,0.000939,-0.094451
1.287564,0.195375,0.477418,1.032966,0.200829,0.08987
-1.313441,0.132355,0.965333,-0.696301,0.026896,1.024914
0.361889,-0.103699,0.581489,0.206793,-0.770283,-0.606131
1.116593,-1.888656,-0.253234,-1.006718,0.525051,0.85816
0.906001,2.020374,1.238075,0.219593,-0.556037,-0.205235
-0.634643,0.91816,1.227835,-0.753054,-0.928796,-0.996689
0.993848,1.040651,0.963782,-0.655414,0.596472,-0.404864
-1.922887,0.474816,0.746521,-0.155496,-0.182112,-0.230321
0.965392,1.149104,1.380808,-1.028554,-0.16875,-0.172496
1.784362,0.16525,-0.101087,-0.060556,-0.803857,0.827357
0.503973,-1.153409,-0.616978,-0.534626,-0.611299,0.058648
-0.214193,-0.057332,1.051433,-0.209839,0.570119,0.141791
-0.01609,0.297395,0.869081,-0.75223,0.410934,0.545596
-0.153269,-0.215984,-0.434881,0.170578,-0.258312,-0.387414
-0.324107,1.189943,-0.495888,-0.343166,-0.66192,-0.12338
-1.336729,0.598783,-0.939234,0.554977,-1.549745,-0.725128
0.114765,-0.446013,0.608167,0.271569,-0.263764,-0.189939
1.181619,-0.228368,0.040827,-0.73683,1.438752,0.296306
-0.380521,1.028999,-0.128735,0.284502,0.604029,0.384953
-1.94618,-2.138953,-0.747447,0.932574,-0.532763,-0.084465
-1.812602,-1.191077,-0.844536,0.479169,-1.012767,-0.728998
-0.263806,0.342295,-0.073745,-0.375772,0.881977,0.09921
0.952539,-0.683141,0.305109,1.141931,1.374829,0.541541
1.367997,1.370278,0.966309,-1.180222,-0.873372,-0.808182
-1.1256,-0.302886,-0.520225,0.590491,-0.40466,-1.114886
-0.409397,0.059547,0.142007,-0.784618,0.1372,0.996726
-1.323239,-0.655287,-0.917406,0.717105,0.157731,0.566025
-0.191106,0.063373,-0.555167,-0.261009,-0.913879,0.289282
-0.062433,0.407907,0.238322,-0.602916,-0.759326,0.075807
-0.269508,-2.014433,-0.899159,-0.540631,0.167773,0.126061
-0.012354,-0.145479,0.414307,0.869923,-0.289475,1.096262
0.238095,0.274614,-0.668406,0.868257,-0.354199,-0.25577
-0.388481,-0.362647,-0.923445,0.116528,-0.335953,-0.461289
-0.502438,0.136793,0.931332,-0.870913,-0.134649,0.537709
0.259496,0.903425,-0.041199,-1.024169,-0.219819,-0.848312
0.564018,0.542779,-0.499892,0.34822,-0.539067,0.617645
-0.025933,0.813113,1.143949,-1.055306,0.083378,0.251498
1.042858,0.651129,0.278898,-0.442247,1.375615,1.767288
0.442401,0.191442,0.343974,0.787963,0.741015,1.512001
0.098005,-0.036209,0.150058,-0.679357,1.035038,-0.160176
-0.968594,-1.167607,-0.993288,0.665413,-1.093132,0.646438
1.181833,1.469566,1.028291,-0.635802,-0.068998,1.00454
-0.307809,1.431923,0.482595,-0.647025,0.984504,-0.52935
-0.681226,0.782323,0.595443,0.00186,-0.278369,0.087623
0.561809,1.125638,-0.198417,0.065992,-0.653511,0.185647
-0.574526,1.681452,0.801579,-0.63018,0.330223,0.682937
0.474414,-0.992358,0.77465,0.69148,0.805444,0.602913
2.331244,1.916928,0.984838,-1.640688,1.11881,0.118749
0.6025,0.100784,0.719508,0.204457,0.393608,-0.180531
-1.00836,0.146785,-0.989668,0.969513,-0.679977,0.879282
0.630059,1.061017,0.885386,0.477416,-0.012235,0.975172
-1.24084,-0.139579,-1.548136,-0.001305,-0.600627,0.343988
1.0293,0.356659,0.90773,0.760246,0.551977,-0.431945
-1.949276,0.674029,-0.604593,0.711582,-0.394031,-0.919685
-1.513056,0.310666,-0.171457,-0.795398,0.115644,1.647691
0.707199,-1.153041,0.438794,-1.043009,1.034856,-0.239084
1.498225,-0.313556,0.573355,0.683341,-0.141784,-0.039982
-0.03412,-0.8005,-0.567271,-0.932078,-0.66306,-0.008248
-2.132078,-0.082237,-0.147104,0.503902,-0.707786,-0.407496
-0.113749,-0.806293,0.094914,-1.06915,-0.045312,-0.085666
1.049852,1.096145,1.020134,0.174923,-0.981268,0.441011
0.482545,0.487133,1.001631,-1.425551,0.049464,0.511444
-0.423851,0.887303,-0.36767,0.167436,0.321961,0.088171
-1.74584,-0.171935,-0.731561,0.431508,-0.450523,-0.582875
0.193861,-1.260161,-1.060762,-0.222197,-0.175161,0.610879
1.380516,-2.235173,-1.050255,0.515493,-0.519201,0.261578
1.24191,-0.385291,0.904002,-0.463203,-0.319183,-0.662755
1.125593,-1.226303,-0.621069,0.213117,0.473773,-0.255969
0.692549,1.020321,0.329476,0.446485,0.048456,0.254217
0.290961,-0.350776,0.59709,-0.700936,0.04421,-0.597543
1.036516,-0.706083,-1.001506,1.263365,0.274947,0.903135
0.922397,-1.901121,-0.499728,0.242504,0.608859,0.58956
-0.435718,2.629152,1.225139,-0.690529,0.710607,0.460712
1.892031,-0.094761,0.54373,0.018719,-0.364737,-0.812274
2.005556,-1.267206,0.733865,-0.468654,-0.030656,0.004278
