Burglary,Earthquake,Alarm,JohnCalls,Marycalls
0.455489,0.887525,-0.602987,-0.110063,-0.955651
-0.347524,-1.346067,0.518723,-1.363426,0.496563
-0.495618,0.38496,0.802026,0.240942,0.257222
0.002482,-0.841145,0.118812,-0.953022,0.671819
-0.136123,0.344451,-1.153508,-0.655946,-0.628773
-1.924846,-1.780143,0.677612,0.791724,0.455661
-0.446373,-0.887678,0.676842,0.088554,0.5184
0.325756,0.312717,-0.281738,-0.143189,1.032903
1.449012,-0.48297,-0.79477,-0.356505,0.32567
0.041801,0.191032,0.80786,-0.460662,0.711348
-1.276931,-1.752967,1.527432,-0.42185,-0.418971
1.452263,-0.867285,-0.707074,0.417077,1.01817
-1.451623,-0.629426,-0.549957,-0.096146,0.324506
-0.081968,-0.264141,0.815777,0.036555,0.659344
-2.28906,0.831274,1.406885,-0.50536,1.166468
-0.571848,-0.028669,-0.709089,-0.780094,0.650369
1.080617,-1.252602,-0.389779,0.374995,0.644103
0.085324,0.355704,-0.825104,0.079292,-0.842994
-1.718803,-0.810806,1.308617,1.064213,-0.82494
-0.384647,1.626844,-0.270182,-0.458911,-0.401508
2.546549,0.222526,-0.399686,0.426935,-1.054225
1.617822,-0.11044,0.960334,0.823409,0.747285
-0.362361,-0.102649,0.717422,1.120392,0.622901
2.846959,1.872342,-0.176512,0.444464,-0.89548
-1.509302,-0.019436,-0.020353,1.225769,-0.514726
0.039282,-0.42606,0.413065,0.882162,0.544464
-0.602373,-1.354633,0.259894,1.243729,0.53293
-0.410477,0.362983,0.275253,-0.014289,-0.017336
0.57307,1.299203,-0.473834,-0.393185,-0.792813
-0.766777,0.224419,0.536181,-0.669206,0.186946
-1.99751,-1.549273,0.680172,1.047349,-0.468931
-1.556754,-0.83502,0.532249,0.321126,0.345202
-0.25223,2.124325,-0.48845,-0.578841,-0.503824
0.451385,-0.688731,-0.729684,0.765021,-0.062663
-0.166191,-0.33149,0.73952,-0.758471,0.391281
-1.210677,-1.830489,0.258921,-0.471601,0.956006
1.135445,0.343646,0.700509,0.522586,1.175459
0.204638,0.964949,0.556885,-0.751508,0.573433
1.345894,0.450186,1.001896,0.602928,-0.434939
0.83917,-1.010866,0.616309,1.123959,0.941128
-0.143609,-0.568946,1.063686,0.182461,0.438065
-1.111481,-1.297324,0.142035,-0.811017,1.216413
-1.541761,-0.624475,0.503548,1.184999,-0.624979
0.127479,0.092069,-1.045197,-0.456511,-1.103893
-0.515854,1.616214,0.613287,0.193974,0.928007
-0.500568,2.652742,-1.306067,-1.190361,-0.972327
0.432114,-0.194687,0.679729,0.509971,-0.62517
-2.198885,1.109379,0.836397,-0.080675,-0.942897
