smoker,pollution,cancer,xray,dyspnoea
-1.084441,-1.192539,-1.123303,0.000191,0.4954
-2.100347,0.94116,-0.950319,-1.255315,-0.646309
0.386307,0.108928,0.785567,1.026591,-0.741253
-0.582874,-0.888147,-0.652547,0.429526,-1.035717
-0.553288,2.19286,0.085359,0.205788,0.038567
-0.587033,-1.080105,-0.044625,0.872828,-0.096765
0.340823,-0.998754,0.445705,-0.009372,0.189772
1.076906,0.385363,-1.004947,0.650289,0.090506
1.003601,-0.052367,0.283332,1.492084,-0.392156
0.737089,0.225378,1.038689,-0.388228,0.923559
1.22083,0.499521,0.805473,1.051583,1.081551
-1.116609,-0.743161,-1.146262,0.265205,-0.614544
-1.403642,1.117747,0.982718,-0.481517,0.977333
-1.929216,-0.868624,-0.35959,0.942248,-0.565798
0.616691,-0.479757,0.702412,0.055383,0.770301
1.358221,0.433188,-0.141822,0.096606,-0.406167
0.926909,-0.471988,0.347629,-0.619232,0.911287
-0.279171,-0.100909,0.954207,-0.387758,-0.190717
-1.313441,0.132355,0.965333,-0.696301,0.026896
2.510327,0.407041,0.907157,0.349288,0.607852
-0.928402,-0.860073,-0.7442,0.191736,0.147571
-1.300732,-0.737549,-0.476615,1.264493,1.198727
0.894623,0.727033,0.934238,-0.800869,0.446063
-0.634643,0.91816,1.227835,-0.753054,-0.928796
0.29785,-0.776982,0.704365,0.661048,-0.27002
-0.184062,0.911031,0.054426,-0.759441,1.127052
-0.46646,1.327981,0.090881,-0.131888,1.091076
1.478405,1.147192,0.097221,-0.767623,0.627814
1.784362,0.16525,-0.101087,-0.060556,-0.803857
1.888409,0.580049,0.528307,-0.616186,-0.563618
-0.489332,-0.040853,0.542347,-0.419646,1.211788
-0.384813,1.289665,0.571211,-0.390912,0.345682
1.724173,-0.056403,0.337119,0.097611,0.804887
-0.153269,-0.215984,-0.434881,0.170578,-0.258312
-2.322514,1.579774,0.070565,-1.036034,-0.531987
-0.08925,-1.058927,-0.166614,-0.567832,-0.846995
-0.01818,0.479267,-1.426466,0.505503,-0.659122
0.842385,0.727099,0.838809,-0.856293,0.169832
1.181619,-0.228368,0.040827,-0.73683,1.438752
-0.22744,-0.298662,-0.161251,-0.474501,0.15822
0.883383,0.040236,0.359511,-1.693756,0.395792
2.176615,-0.116304,0.655074,-0.55631,-1.254297
0.124717,0.212809,0.336325,-0.971055,-0.456766
-0.263806,0.342295,-0.073745,-0.375772,0.881977
-1.542368,2.001799,0.598148,0.085495,1.199062
1.357394,1.488682,0.525018,1.19743,-0.157844
-1.392633,-0.740263,-1.169626,0.527764,-1.005612
0.358473,-0.168154,0.443215,-0.377493,-1.097417
-0.409397,0.059547,0.142007,-0.784618,0.1372
1.643476,0.961611,0.227972,-0.853202,0.681909
1.162193,-0.981787,0.031669,-0.149639,-0.499285
-0.147982,-1.106995,-1.192011,0.919095,-0.39024
2.15498,-2.015924,-0.674704,-0.722508,0.725802
-0.269508,-2.014433,-0.899159,-0.540631,0.167773
0.024376,0.902545,0.477655,0.432708,0.890512
-0.446544,-0.308235,0.801111,-0.065428,-0.725389
0.367234,0.931023,0.322647,-0.602418,-0.302048
-1.556174,-0.032629,-0.899746,0.325139,-0.658895
-0.502438,0.136793,0.931332,-0.870913,-0.134649
1.743816,-0.03026,1.090703,-0.741153,-0.799449
0.065531,-0.730485,-0.822349,0.8763,-1.332848
0.715324,-0.936352,-0.531173,1.03566,0.027237
0.971083,0.8799,-0.270721,-0.309717,0.759399
1.042858,0.651129,0.278898,-0.442247,1.375615
0.052231,3.219426,1.051569,-0.423482,0.855031
1.126535,-0.165083,1.480255,-0.539741,0.706708
-0.241428,-1.190782,0.492092,-0.7081,-0.933709
-0.562092,-0.188434,0.348208,-1.030109,1.19682
1.181833,1.469566,1.028291,-0.635802,-0.068998
2.119396,0.608801,1.342842,-0.44452,0.062698
0.418624,1.343747,0.182692,-0.297925,0.599571
-0.266374,1.304401,0.237632,0.122195,0.913934
-1.922947,0.432374,-0.685606,-0.498151,0.378885
-0.574526,1.681452,0.801579,-0.63018,0.330223
1.060304,0.396212,0.460949,0.974576,0.845279
0.693121,0.213817,0.440898,1.611592,0.490722
-0.762758,-2.421508,-0.560522,0.568719,0.277438
1.676658,-0.560695,0.84343,-0.263009,-0.224052
-1.00836,0.146785,-0.989668,0.969513,-0.679977
0.876857,0.734262,1.248028,-0.420353,1.231922
-0.553483,0.131786,0.692925,-0.922104,-1.10542
-0.008257,-1.714977,-0.659762,1.039833,0.631017
0.731769,0.158111,1.222706,0.450805,-0.732044
-1.949276,0.674029,-0.604593,0.711582,-0.394031
-1.594107,-0.466553,-0.865758,0.506755,-1.106188
-0.106241,0.801889,1.659023,-0.561294,0.709891
-1.327988,-0.514591,-0.077517,-0.315299,0.727909
1.195702,-0.888126,0.784686,-0.600172,-0.037554
-0.03412,-0.8005,-0.567271,-0.932078,-0.66306
-0.569671,2.538393,-0.188168,0.028887,0.354105
-0.481132,-0.775172,-0.862271,0.003777,0.215257
-2.353697,-0.299499,-0.844736,0.846302,0.838312
-0.456541,0.860539,0.71651,-1.150612,1.25009
0.482545,0.487133,1.001631,-1.425551,0.049464
2.256755,-0.396996,0.818816,-0.855214,0.367994
0.468048,0.293736,0.166936,-0.970631,0.244789
0.145376,0.024739,-0.047023,-0.593946,-0.301809
-1.163322,-0.419305,-0.807679,0.090428,0.526778
1.380516,-2.235173,-1.050255,0.515493,-0.519201
0.404607,0.10224,0.684291,0.622228,0.118878
-0.896309,0.012574,-0.623177,0.410186,-0.655373
0.612366,-1.273025,0.183841,-0.766802,0.935984
-0.118275,-1.133381,-0.068332,-0.068486,0.037106
0.290961,-0.350776,0.59709,-0.700936,0.04421
0.136323,-0.876687,-0.011708,-1.062687,0.853906
0.891292,-0.012914,0.61741,-0.211058,0.373638
0.910361,-1.463759,0.273399,0.052387,0.685922
1.087001,0.704333,0.615258,-0.037343,0.538371
1.892031,-0.094761,0.54373,0.018719,-0.364737
-1.033851,-0.156802,0.23027,0.64861,-0.053738
0.093789,-1.202438,-0.376098,-0.166535,0.57175
-0.822658,1.739485,0.884757,-0.023451,0.230746
-0.961529,-0.804964,-0.777854,0.426367,0.252542
0.428338,0.115528,0.114049,0.672619,-0.377619
-1.311965,-1.320789,-1.226283,0.20908,-1.096524
1.715093,0.860339,0.276943,-0.53857,-1.214329
-2.482817,-1.002686,-1.260654,1.246046,-0.412674
-0.801413,-0.579853,-0.718388,0.614848,0.042005
-0.417448,0.261996,0.795474,0.525162,0.811679
0.445747,-0.406538,0.715325,-0.589352,-0.359186
-0.586338,-0.305431,-1.150735,0.429104,-0.046854
0.053235,-1.646176,-0.569202,-0.478864,-0.097116
-1.202762,-0.823282,-0.70509,-0.213584,-0.261539
0.590966,-0.20836,0.09726,0.918602,0.13971
-0.759623,-0.324218,-0.819399,0.845257,0.185657
0.841461,-1.151285,-0.083747,-0.56339,-0.540886
-0.294587,-0.867122,0.81292,-0.100883,0.035362
1.90713,-0.564728,0.790197,-0.964985,0.385292
-0.100121,0.300219,0.325016,0.216042,-0.203219
-0.23684,0.566963,0.083174,0.288317,-0.264002
0.297072,-0.38724,-0.408349,-1.009521,-0.537537
1.286529,-0.017825,-0.954569,-0.052809,-0.157532
-0.39758,-0.939222,-0.153014,0.832525,-0.049993
-0.214361,-1.680496,-0.929349,0.475226,0.7733
0.456147,0.974046,-1.09725,-0.179844,-1.149211
-0.621178,-0.88933,-0.277952,-0.30781,-1.046133
-0.767432,-1.225433,0.173716,1.292436,0.465664
-2.926055,-0.431334,0.089481,0.00452,-0.504444
0.379972,1.926631,0.501646,-0.593583,0.574348
1.734657,-1.451582,-0.348718,-0.285012,-0.403243
1.136072,0.483929,1.133424,0.104547,-0.413276
-0.456113,-0.516348,-1.236372,-0.62212,0.293094
-0.144224,-0.261712,-0.556581,0.769433,0.719125
-0.806597,-0.325301,-0.03769,-0.085674,-0.205812
